Customer,Gender,Country,Reason,Purchase value
Kimberly Munoz,F,USA,Delayed shipment,21546
Dwayne Smith,M,Slovenia,Damaged item,34659
Mark Hall,M,South Korea,Damaged item,25661
Gene Molina,M,Spain,Damaged item,2589
Mckenzie Lamb,F,Norway,Exchange request,22742
Philip Elliott,M,UK,Delayed shipment,5985
Julie Walker,F,Japan,My Account,2945
Andrew Mendoza,M,Romania,Payment method,3448
Alexander Pitts,M,Sri Lanka,Different product,34559
Linda Burns,F,Sri Lanka,Damaged item,9437
James Smith,M,UK,Delayed shipment,32224
Jennifer Edwards,F,USA,Payment method,11668
Calvin Rodriguez,M,Sri Lanka,Delayed shipment,16613
William Cooper,M,UK,Different product,24423
Lorraine Daniel,F,South Korea,Delayed shipment,22413
James Kelly,M,New Zealand,My Account,31443
Teresa Baldwin,F,USA,Delayed shipment,21205
Charles Moore,M,South Korea,Exchange request,25367
Jennifer Salinas,F,Belgium,My Account,6373
Jessica Clark,F,Croatia,Exchange request,13493
Jenna Powell,F,Norway,Delayed shipment,9033
David Craig,M,USA,Different product,33047
Mary Davis,F,Argentine,Delayed shipment,20303
Stephanie Montoya,F,Sri Lanka,Delayed shipment,29912
Taylor Long,F,South Korea,My Account,9684
April Carpenter,F,USA,Damaged item,29844
David Lewis,M,Sri Lanka,Exchange request,12067
Lisa Jacobs,F,Sri Lanka,Delayed shipment,23803
Dalton Cole,M,Japan,Damaged item,33498
Julia Glover,F,Romania,Delayed shipment,4486
Rebecca Fuller,F,South Korea,Delayed shipment,34366
Brenda Robinson,F,Japan,Payment method,2149
Kevin Ashley,M,South Korea,Damaged item,32643
Jennifer Nguyen,F,Belgium,Payment method,29365
Tami Burnett,F,South Korea,Damaged item,15944
Natalie Lloyd,F,USA,My Account,5428
Brandon Smith,M,Romania,My Account,31168
Karen Hale,F,USA,My Account,4741
Andrew Lewis,M,Sri Lanka,Payment method,10104
Brooke Obrien,F,USA,Different product,3488
Tiffany Ray,F,South Korea,Payment method,30154
Melanie Fleming,F,UK,Exchange request,32774
Jennifer Armstrong,F,Slovenia,Payment method,27375
Paul Ramsey,M,UK,My Account,16066
Michael Russell,M,Spain,Damaged item,11642
Mr. Taylor Horn Jr.,M,Sri Lanka,Different product,9596
