Customer	Gender	Country	Reason	Purchase value	Helpdesk	Priority	Average
Kimberly Munoz	F	USA	Delayed shipment	21546	USA Helpdesk	High	17603.08633
Dwayne Smith	M	Slovenia	Damaged item	34659	USA Helpdesk	High	17574.51449
Mark Hall	M	South Korea	Damaged item	25661	China Helpdesk	High	17449.81022
Gene Molina	M	Spain	Damaged item	2589	USA Helpdesk	High	17389.43382
Mckenzie Lamb	F	Norway	Exchange request	22742	USA Helpdesk	High	17499.06667
Philip Elliott	M	UK	Delayed shipment	5985	USA Helpdesk	NA	17459.9403
Julie Walker	F	Japan	My Account	2945	China Helpdesk	NA	17546.21805
Andrew Mendoza	M	Romania	Payment method	3448	USA Helpdesk	NA	17656.83333
Alexander Pitts	M	Sri Lanka	Different product	34559	India Helpdesk	High	17765.29771
Linda Burns	F	Sri Lanka	Damaged item	9437	India Helpdesk	High	17636.11538
James Smith	M	UK	Delayed shipment	32224	USA Helpdesk	High	17699.67442
Jennifer Edwards	F	USA	Payment method	11668	USA Helpdesk	NA	17586.20313
Calvin Rodriguez	M	Sri Lanka	Delayed shipment	16613	India Helpdesk	NA	17632.80315
William Cooper	M	UK	Different product	24423	USA Helpdesk	High	17640.89683
Lorraine Daniel	F	South Korea	Delayed shipment	22413	China Helpdesk	High	17586.64
James Kelly	M	New Zealand	My Account	31443	India Helpdesk	High	17547.71774
Teresa Baldwin	F	USA	Delayed shipment	21205	USA Helpdesk	High	17434.74797
Charles Moore	M	South Korea	Exchange request	25367	China Helpdesk	High	17403.84426
Jennifer Salinas	F	Belgium	My Account	6373	USA Helpdesk	NA	17338.03306
Jessica Clark	F	Croatia	Exchange request	13493	USA Helpdesk	NA	17429.40833
Jenna Powell	F	Norway	Delayed shipment	9033	USA Helpdesk	NA	17462.48739
David Craig	M	USA	Different product	33047	USA Helpdesk	High	17533.92373
Mary Davis	F	Argentine	Delayed shipment	20303	USA Helpdesk	High	17401.33333
Stephanie Montoya	F	Sri Lanka	Delayed shipment	29912	India Helpdesk	High	17376.31897
Taylor Long	F	South Korea	My Account	9684	China Helpdesk	NA	17267.31304
April Carpenter	F	USA	Damaged item	29844	USA Helpdesk	High	17333.83333
David Lewis	M	Sri Lanka	Exchange request	12067	India Helpdesk	NA	17223.12389
Lisa Jacobs	F	Sri Lanka	Delayed shipment	23803	India Helpdesk	High	17269.16071
Dalton Cole	M	Japan	Damaged item	33498	China Helpdesk	High	17210.2973
